actual_price,discounted_price,discount_percentage,rating,rating_count
29.99,15.59,0.48,4.3,301.0
22.79,18.23,0.2,4.4,19763.0
839.99,563.99,0.33,4.3,21252.0
9.59,3.59,0.63,4.3,1902.0
239.99,21.59,0.91,4.2,13937.0
119.99,23.98,0.8,4.3,27696.0
95.88,23.99,0.75,3.8,17831.0
26.39,24.59,0.07,4.3,178912.0
107.99,77.99,0.28,4.0,7807.0
347.99,347.99,0.0,4.3,17415.0
347.99,347.99,0.0,4.3,17415.0
107.99,77.99,0.28,4.0,7807.0
107.99,77.99,0.28,4.0,7807.0
12.0,6.83,0.43,4.4,67259.0
59.99,22.78,0.62,4.1,10689.0
19.19,15.59,0.19,4.0,128311.0
83.88,17.99,0.79,3.9,21796.0
11.99,7.19,0.4,4.1,192590.0
143.99,113.99,0.21,4.2,284.0
29.99,7.19,0.76,3.9,58162.0
143.99,107.99,0.25,4.0,12796.0
15.59,4.19,0.73,4.0,14282.0
11.99,4.19,0.65,4.1,363713.0
21.6,11.51,0.47,4.4,67259.0
143.99,113.99,0.21,4.2,284.0
29.99,17.99,0.4,4.3,15970.0
26.39,13.79,0.48,4.3,178912.0
11.99,4.19,0.65,3.9,46399.0
20.39,14.63,0.28,4.4,8891.0
47.99,19.19,0.6,4.0,30254.0
95.99,17.99,0.81,4.2,22636.0
311.99,221.99,0.29,4.1,22318.0
8.4,4.43,0.47,4.4,67259.0
215.99,155.99,0.28,4.1,18998.0
239.99,21.59,0.91,4.2,13937.0
119.99,26.39,0.78,4.2,29471.0
299.99,203.99,0.32,4.1,22318.0
251.99,197.99,0.21,4.0,21350.0
239.99,21.59,0.91,4.2,13937.0
13.19,4.79,0.64,4.2,24270.0
131.99,101.99,0.23,4.1,313836.0
101.99,77.99,0.24,4.1,313836.0
239.99,21.59,0.91,4.2,13937.0
143.99,107.99,0.25,4.0,12796.0
5.94,1.67,0.72,4.3,14185.0
203.99,47.99,0.76,4.3,17159.0
71.99,35.98,0.5,4.1,5179.0
4.19,2.39,0.43,4.0,43993.0
227.99,185.99,0.18,4.1,19252.0
11.99,2.39,0.8,3.9,7928.0
239.99,21.59,0.91,4.2,13937.0
143.99,107.99,0.25,4.0,12796.0
20.39,10.48,0.49,4.4,1680.0
191.99,155.99,0.19,4.2,13246.0
19.19,6.47,0.66,3.8,14648.0
119.99,23.99,0.8,4.3,27696.0
251.88,185.88,0.26,4.2,32916.0
299.99,239.99,0.2,3.9,25824.0
20.39,12.9,0.37,4.4,7462.0
8.39,4.79,0.43,4.0,37817.0
47.88,23.99,0.5,4.0,30254.0
95.88,23.99,0.75,3.8,17831.0
8.39,3.95,0.53,4.2,94364.0
4.79,1.85,0.61,4.2,16905.0
419.99,347.99,0.17,4.4,20311.0
95.88,27.59,0.71,4.2,69622.0
23.99,4.79,0.8,4.0,3382.0
47.99,13.79,0.71,4.3,140036.0
17.99,6.35,0.65,4.1,8599.0
233.99,167.99,0.28,4.1,18998.0
11.99,4.55,0.62,4.1,363713.0
239.99,167.99,0.3,4.1,19252.0
119.99,47.99,0.6,4.4,73.0
12.0,1.79,0.85,3.9,24870.0
5.99,1.19,0.8,4.3,42641.0
191.88,57.48,0.7,4.0,4390.0
407.99,407.99,0.0,4.3,17415.0
11.99,1.19,0.9,4.0,1396.0
22.8,3.59,0.84,3.6,18202.0
179.99,131.99,0.27,4.1,18998.0
467.99,419.99,0.1,4.2,11029.0
299.99,203.99,0.32,4.1,22318.0
5.99,2.39,0.6,4.1,1786.0
19.19,11.99,0.38,4.0,7222.0
19.19,15.59,0.19,4.0,128311.0
21.6,7.19,0.67,3.5,83996.0
22.79,7.19,0.68,4.3,140036.0
29.99,21.59,0.28,4.1,18678.0
5.99,2.12,0.65,4.1,15189.0
179.99,131.99,0.27,4.1,18998.0
95.88,35.99,0.62,4.1,48449.0
95.88,23.99,0.75,3.8,17831.0
3.59,2.75,0.23,4.3,30411.0
3.59,2.39,0.33,4.0,43994.0
11.99,7.79,0.35,4.2,1315.0
233.99,167.99,0.28,4.1,18998.0
3.59,1.43,0.6,4.1,5999.0
215.99,155.99,0.28,4.1,50772.0
4.07,1.85,0.55,4.3,13391.0
323.99,251.99,0.22,3.9,25824.0
7.79,2.99,0.62,4.0,14404.0
2.05,1.19,0.42,4.5,11339.0
23.99,5.87,0.76,4.0,3626.0
19.2,4.43,0.77,4.0,32625.0
251.99,185.99,0.26,4.1,19252.0
227.99,185.99,0.18,4.1,19252.0
347.99,275.99,0.21,3.9,25824.0
17.88,7.19,0.6,4.1,161679.0
8.39,1.61,0.81,4.1,16685.0
95.99,89.99,0.06,4.0,30907.0
26.39,13.79,0.48,4.3,178912.0
20.39,15.89,0.22,4.0,128311.0
239.99,167.99,0.3,4.1,19252.0
9.59,3.59,0.63,4.2,94364.0
19.19,11.99,0.38,4.0,7222.0
215.99,155.99,0.28,4.1,18998.0
251.88,185.88,0.26,4.2,32916.0
34.79,11.99,0.66,4.6,26603.0
59.99,19.19,0.68,4.0,67950.0
20.39,15.89,0.22,4.0,128311.0
359.88,251.99,0.3,4.3,9499.0
23.99,11.99,0.5,4.3,1777.0
191.88,149.88,0.22,4.2,58506.0
263.88,215.99,0.18,4.0,21350.0
10.79,4.2,0.61,4.2,2263.0
19.56,16.79,0.14,4.0,9378.0
4.79,1.91,0.6,4.1,4768.0
83.88,17.99,0.79,3.9,21796.0
95.88,23.99,0.75,3.8,17833.0
34.79,11.99,0.66,4.7,7779.0
71.99,25.19,0.65,4.3,17129.0
8.39,4.04,0.52,4.2,4969.0
95.88,35.99,0.62,4.1,154.0
71.99,15.59,0.78,3.3,4415.0
4.79,4.19,0.13,4.4,18757.0
251.88,197.99,0.21,4.0,21350.0
5.99,5.99,0.0,4.2,31539.0
21.59,11.64,0.46,4.5,815.0
34.79,11.99,0.66,4.6,6129.0
161.99,125.99,0.22,4.2,284.0
4.79,2.99,0.38,4.0,43994.0
11.99,3.01,0.75,3.7,3234.0
5.99,2.39,0.6,4.1,13045.0
95.99,77.99,0.19,4.1,313832.0
119.99,35.99,0.7,4.2,20879.0
17.99,3.35,0.81,4.2,2646.0
17.99,3.23,0.82,4.5,28978.0
161.99,107.99,0.33,3.8,3145.0
2.39,0.71,0.7,4.0,9377.0
15.59,7.19,0.54,4.1,192589.0
11.99,4.19,0.65,3.8,16557.0
233.99,167.99,0.28,4.1,18998.0
11.99,4.19,0.65,3.8,16557.0
7.19,5.99,0.17,4.2,21916.0
119.99,26.39,0.78,4.2,29472.0
5.99,1.14,0.81,4.2,1949.0
2.99,1.67,0.44,4.0,9377.0
95.99,53.99,0.44,3.5,37.0
7.19,1.07,0.85,4.3,2351.0
251.99,185.99,0.26,4.1,19253.0
191.99,167.99,0.13,3.9,2180.0
59.99,23.99,0.6,3.9,7571.0
71.99,16.79,0.77,3.3,4415.0
11.99,7.19,0.4,4.0,18654.0
13.19,2.39,0.82,4.0,3197.0
83.88,21.59,0.74,4.0,26880.0
83.88,17.99,0.79,3.9,21796.0
359.88,251.99,0.3,4.3,9499.0
161.99,155.99,0.04,4.1,56098.0
251.99,203.99,0.19,4.1,31822.0
335.88,239.99,0.29,4.3,9499.0
227.99,155.99,0.32,4.1,50772.0
71.99,35.99,0.5,4.1,7148.0
11.99,3.59,0.7,4.3,20850.0
23.99,11.64,0.51,4.4,184.0
11.99,3.95,0.67,4.2,3492.0
71.99,15.59,0.78,3.3,4415.0
42.0,23.87,0.43,4.4,67260.0
119.99,23.99,0.8,4.3,27704.0
227.99,155.99,0.32,4.1,50772.0
59.99,17.99,0.7,4.0,92588.0
251.99,203.99,0.19,4.1,31822.0
101.99,23.99,0.76,4.3,240.0
83.99,59.99,0.29,3.8,758.0
8.0,1.19,0.85,3.9,24870.0
71.99,29.99,0.58,3.7,828.0
19.56,16.79,0.14,4.0,9378.0
119.99,17.99,0.85,4.2,22638.0
22.8,10.79,0.53,4.4,13552.0
7.19,2.99,0.58,3.9,2147.0
14.39,3.59,0.75,4.5,596.0
5.99,0.95,0.84,4.2,1949.0
191.99,167.99,0.13,3.9,2180.0
11.99,11.39,0.05,4.2,31539.0
5.99,1.19,0.8,4.1,2451.0
95.88,29.99,0.69,4.1,154.0
23.99,8.27,0.66,4.3,1193.0
22.79,5.99,0.74,4.1,1475.0
11.99,3.59,0.7,4.3,8891.0
5.99,2.51,0.58,3.6,104.0
155.99,101.99,0.35,4.1,6662.0
47.99,26.15,0.46,4.0,8380.0
